,code,hwlwmc,spfwfljc,desc
1,1000000000000000000,货物,货物,
2,1010000000000000000,农、林、牧、渔业类产品,农产品,
3,1010100000000000000,农业产品,农业产品,
4,1010101000000000000,谷物,谷物,包括稻谷、小麦、玉米、谷子、高粱、大麦、燕麦、黑麦、荞麦、其他谷物，不包括种用谷物（详见101011901）。
5,1010101010000000000,稻谷,谷物,包括早籼稻、晚籼稻、中籼稻、粳稻、糯稻、其他稻谷。
6,1010101020000000000,小麦,谷物,包括硬质小麦、软质小麦、其他小麦。
7,1010101030000000000,玉米,谷物,包括白玉米、黄玉米、糯玉米、甜玉米、其他玉米。
8,1010101040000000000,谷子,谷物,包括硬谷子、糯谷子、其他谷子。
9,1010101050000000000,高粱,谷物,包括红粒高粱、白粒高粱、糯高粱、其他高粱。
10,1010101060000000000,大麦,谷物,包括裸大麦、皮大麦。
11,1010101070000000000,燕麦,谷物,包括裸燕麦、皮燕麦。
12,1010101080000000000,黑麦,谷物,
13,1010101090000000000,荞麦,谷物,包括甜荞麦、苦荞麦。
14,1010101990000000000,其他谷物,谷物,包括糜子（硬糜子、糯糜子）、紫米、薏苡等。
15,1010102000000000000,薯类,薯类,包括马铃薯、木薯、甘薯、其他薯类，不包括种用薯类（详见101011902）。
16,1010102010000000000,马铃薯,薯类,又称土豆、山药蛋。
17,1010102020000000000,木薯,薯类,包括鲜木薯、木薯干、其他木薯。
18,1010102030000000000,甘薯,薯类,又称红薯、白薯、地瓜、番薯、包括甘薯干、其他鲜甘薯。
19,1010102990000000000,其他薯类,薯类,指其他未列明薯类。
20,1010103000000000000,油料作物,油料,包括花生、油菜籽、芝麻、其他油料，不包括种用油料（详见101011903）。
21,1010103010000000000,花生,油料,包括带壳花生、花生仁。
22,1010103020000000000,油菜籽,油料,包括双低油菜籽（指低硫苷、低芥酸油菜籽）、其他油菜籽。
23,1010103030000000000,芝麻,油料,包括白芝麻、黑芝麻、黄芝麻。
24,1010103990000000000,其他油料,油料,其他含油子仁及果实，如胡麻籽、棉籽、蓖麻籽、芥子、红花籽、油棕果及油棕仁、罂粟子、油橄榄果、油茶籽（油料）等。
25,1010104000000000000,干豆类,干豆,指脱荚的干豆；带荚的鲜豆列入蔬菜中。包括大豆、绿豆、其他杂豆、但不包括种用豆类（详见101011904）。
26,1010104010000000000,大豆,干豆,包括黄大豆、黑大豆、青大豆、褐红大豆、双青豆、青仁乌豆、小黑豆、其他大豆。
27,1010104020000000000,绿豆,干豆,包括明绿豆、毛绿豆。
28,1010104990000000000,其他杂豆,干豆,其他杂豆、包括小豆、干豌豆、小扁豆、干蚕豆、芸豆、饭豆、干豇豆、鹰嘴豆、其他杂豆，但不包括种用其他杂豆（详见101011904）。
29,1010105000000000000,棉花,棉花,不论是否轧过、具体包括籽棉、皮棉（细绒棉皮棉、长绒棉皮棉）、其他棉花。
30,1010106000000000000,生麻,生麻,包括生亚麻、生苎麻、生黄红麻、生线麻、生苘麻、生大麻、生剑麻、其他生麻。
31,1010107000000000000,糖料,糖料,包括甘蔗、甜菜、其他糖料。
32,1010107010000000000,甘蔗,糖料,
33,1010107020000000000,甜菜,糖料,
34,1010107990000000000,其他糖料,糖料,
35,1010108000000000000,未加工烟草,烟草,指未去梗的烟草，包括未去梗烤烟叶、未去梗晒烟叶、未去梗晾烟叶、未去梗白肋烟、其他未加工烟草。
36,1010108010000000000,未去梗烤烟叶,烟草,指初烤未去梗烤烟叶，不包括复烤烟叶（详见1030401）。
37,1010108990000000000,其他未加工烟草,烟草,指其他未加工烟草，包括未去梗晒烟叶、未去梗晾烟叶、未去梗白肋烟、其他未加工烟草。
38,1010109000000000000,饲料作物,饲料作物,包括苜蓿、青饲料、饲料牧草、其他饲料作物，不包括种用饲料作物（详见101011905）。
39,1010109010000000000,饲料牧草,饲料作物,包括苜蓿干草、羊草、沙打旺、其他饲料牧草。
40,1010109990000000000,其他饲料作物,饲料作物,包括青饲料、其他饲料作物。
